L,H,window_id,model,val_origin_start,val_origin_end,n_train,n_val,RMSE,MAE,Directional_Accuracy
42,5,0,Diffusion,2020-01-13,2021-02-01,1219,266,0.5948843850582093,0.4686741275966628,0.48120300751879697
42,5,1,Random Walk,2020-10-01,2021-10-20,1401,266,0.03723235660696664,0.028647785865569014,0.0
42,5,1,Historical Mean,2020-10-01,2021-10-20,1401,266,0.03713136986534078,0.02848066240462909,0.5291353383458647
42,5,1,AR Linear,2020-10-01,2021-10-20,1401,266,0.03750105837602766,0.02884099625528298,0.49624060150375937
42,5,1,Ridge,2020-10-01,2021-10-20,1401,266,0.03885550506688862,0.029766002156453232,0.525375939849624
42,5,1,MLP,2020-10-01,2021-10-20,1401,266,0.25823599263710667,0.20727003378602957,0.5150375939849624
42,5,1,Random Forest,2020-10-01,2021-10-20,1401,266,0.0376898761426971,0.029154015089012893,0.46710526315789475
42,5,1,Diffusion,2020-10-01,2021-10-20,1401,266,1.1184299518820848,0.89034232584641,0.5197368421052632
42,5,2,Random Walk,2021-06-23,2022-07-13,1583,266,0.04134137365418828,0.03204067902131687,0.0
42,5,2,Historical Mean,2021-06-23,2022-07-13,1583,266,0.04136163557258006,0.03205801942859536,0.48214285714285715
42,5,2,AR Linear,2021-06-23,2022-07-13,1583,266,0.04130555211477622,0.03201246042376582,0.5122180451127819
42,5,2,Ridge,2021-06-23,2022-07-13,1583,266,0.043537174232443236,0.03358256260553126,0.48402255639097747
42,5,2,MLP,2021-06-23,2022-07-13,1583,266,0.26548968259827205,0.21217381838897795,0.47462406015037595
42,5,2,Random Forest,2021-06-23,2022-07-13,1583,266,0.04217342900866773,0.03278509195559495,0.43045112781954886
42,5,2,Diffusion,2021-06-23,2022-07-13,1583,266,0.4292590757357553,0.3389981362890228,0.5103383458646616
42,5,3,Random Walk,2022-03-14,2023-04-03,1765,266,0.04635564230763784,0.036961427595140754,0.0
42,5,3,Historical Mean,2022-03-14,2023-04-03,1765,266,0.04675474497237648,0.03727309620232516,0.45300751879699247
42,5,3,AR Linear,2022-03-14,2023-04-03,1765,266,0.046341439163408216,0.03697387923057366,0.5093984962406015
42,5,3,Ridge,2022-03-14,2023-04-03,1765,266,0.04943706787940334,0.03958090117753482,0.45394736842105265
42,5,3,MLP,2022-03-14,2023-04-03,1765,266,0.25420583390734997,0.19772137488761052,0.49154135338345867
42,5,3,Random Forest,2022-03-14,2023-04-03,1765,266,0.0468656342435413,0.037642611419027534,0.44360902255639095
42,5,3,Diffusion,2022-03-14,2023-04-03,1765,266,0.23431343523850154,0.18783867569121857,0.5084586466165414
42,5,4,Random Walk,2022-12-02,2023-12-22,1948,266,0.03532155065772387,0.028133396632225215,0.0
42,5,4,Historical Mean,2022-12-02,2023-12-22,1948,266,0.03551774381957842,0.028215203078309947,0.5046992481203008
42,5,4,AR Linear,2022-12-02,2023-12-22,1948,266,0.03538308623366827,0.028162975405460405,0.4924812030075188
42,5,4,Ridge,2022-12-02,2023-12-22,1948,266,0.03688698161527546,0.02963505634939654,0.4680451127819549
42,5,4,MLP,2022-12-02,2023-12-22,1948,266,0.1931409765171974,0.1511823370512898,0.4934210526315789
42,5,4,Random Forest,2022-12-02,2023-12-22,1948,266,0.035660288098509046,0.02852578536707633,0.48872180451127817
42,5,4,Diffusion,2022-12-02,2023-12-22,1948,266,0.39134347643175227,0.30960310537087643,0.4774436090225564
